"descrip"|"result"|"year"|"cohort"|"hospital"
"Nº episodios con complicaciones postoperatorias a 30 días (Neumonía)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Paro cardíaco)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Ruptura anastomótica)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (SDRA)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Sangrado gastrointestinal)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Íleo paralítico)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Promedio  de la 1º Hb antes de la cirugía"|"22.55"|"2022"|"cist_radical"|"Hospital B"
"Promedio  de la 1º Hb antes de la cirugía"|"20.33"|"2023"|"cist_radical"|"Hospital B"
"Promedio  de la 1º Hb antes de la cirugía"|"32.7"|"2025"|"cist_radical"|"Hospital B"
"Promedio  de la 1º Hb antes de la cirugía"|"24.65"|"2024"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes no transfundidos"|"32.7"|"2023"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes no transfundidos"|"33.5"|"2022"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes no transfundidos"|"32"|"2024"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes no transfundidos"|"32.2"|"2025"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes transfundidos"|"31.4"|"2024"|"cist_radical"|"Hospital B"
"Promedio  de Hb al alta en pacientes transfundidos"|"31.45"|"2022"|"cist_radical"|"Hospital B"
"Promedio  de días de estancia hospitalaria"|"5.565"|"2023"|"cist_radical"|"Hospital B"
"Promedio  de días de estancia hospitalaria"|"9.973"|"2022"|"cist_radical"|"Hospital B"
"Promedio  de días de estancia hospitalaria"|"18.281"|"2024"|"cist_radical"|"Hospital B"
"Promedio  de días de estancia hospitalaria"|"10.355"|"2025"|"cist_radical"|"Hospital B"
"Mediana de la 1º Hb antes de la cirugía"|"23"|"2022"|"cist_radical"|"Hospital B"
"Mediana de la 1º Hb antes de la cirugía"|"15.1999998092651"|"2023"|"cist_radical"|"Hospital B"
"Mediana de la 1º Hb antes de la cirugía"|"32.7000007629395"|"2025"|"cist_radical"|"Hospital B"
"Mediana de la 1º Hb antes de la cirugía"|"24.6499996185303"|"2024"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes no transfundidos"|"32.7000007629395"|"2023"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes no transfundidos"|"33.5"|"2022"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes no transfundidos"|"32"|"2024"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes no transfundidos"|"32.2000007629395"|"2025"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes transfundidos"|"31.3999996185303"|"2024"|"cist_radical"|"Hospital B"
"Mediana de Hb al alta en pacientes transfundidos"|"31.4500007629395"|"2022"|"cist_radical"|"Hospital B"
"Mediana de días de estancia hospitalaria"|"6.235"|"2023"|"cist_radical"|"Hospital B"
"Mediana de días de estancia hospitalaria"|"7.873"|"2022"|"cist_radical"|"Hospital B"
"Mediana de días de estancia hospitalaria"|"18.281"|"2024"|"cist_radical"|"Hospital B"
"Mediana de días de estancia hospitalaria"|"10.355"|"2025"|"cist_radical"|"Hospital B"
"Incremento de Hb post tratamiento preoperatorio (promedio)"|"20.9000015258789"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (promedio)"|"25.75"|"2024"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (promedio)"|"30.3"|"2025"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (promedio)"|"19.867"|"2023"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (promedio)"|"29.1"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la transfusión (promedio)"|"24.767"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la transfusión (promedio)"|"32.8"|"2024"|"cist_radical"|"Hospital B"
"Incremento de Hb post tratamiento preoperatorio (mediana)"|"20.9000015258789"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (mediana)"|"25.75"|"2024"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (mediana)"|"30.2999992370605"|"2025"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (mediana)"|"15.1999998092651"|"2023"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la intervención (mediana)"|"33.2000007629395"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la transfusión (mediana)"|"31.2999992370605"|"2022"|"cist_radical"|"Hospital B"
"Valor de Hb previo a la transfusión (mediana)"|"32.7999992370605"|"2024"|"cist_radical"|"Hospital B"
"Prevalencia anemia preoperatoria (Hb<13) en %"|"25"|"2022"|"cist_radical"|"Hospital B"
"Prevalencia anemia preoperatoria (Hb<13) en %"|"33.33"|"2023"|"cist_radical"|"Hospital B"
"Prevalencia anemia preoperatoria (Hb<13) en %"|"0"|"2025"|"cist_radical"|"Hospital B"
"Prevalencia anemia preoperatoria (Hb<13) en %"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con evaluación de la anemia preoperatoria con tiempo suficiente"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes con evaluación de la anemia preoperatoria con tiempo suficiente"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con evaluación de la anemia preoperatoria con tiempo suficiente"|"75"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes con evaluación de la anemia preoperatoria con tiempo suficiente"|"66.67"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes anémicos en preoperatorio con estudio del metabolismo del hierro"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos en preoperatorio con estudio del metabolismo del hierro (Hb<13)"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes anémicos en preoperatorio con estudio del metabolismo del hierro (Hb<13)"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos con determinación de concentración Hb reticulocitaria"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos con determinación de concentración Hb reticulocitaria (Hb<13)"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes anémicos con determinación de concentración Hb reticulocitaria (Hb<13)"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente (Hb<13)"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente (Hb<13)"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente 
(anémicos y no anémicos)"|"25"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente 
(anémicos y no anémicos)"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente 
(anémicos y no anémicos)"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente 
(anémicos y no anémicos)"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con Hb de control"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados preoperatoriamente con un incremento de Hb de +1 pto"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con hematíes en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con hematíes en preoperatorio"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con hematíes en preoperatorio"|"100"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con hematíes en preoperatorio"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plasma en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plasma en preoperatorio"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plasma en preoperatorio"|"100"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plasma en preoperatorio"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plaquetas en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plaquetas en preoperatorio"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plaquetas en preoperatorio"|"100"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes no transfundidos con plaquetas en preoperatorio"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia"|"66.67"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia"|"100"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia (Hb>=13)"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia (Hb>=13)"|"100"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia (Hb>=13)"|"100"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes intervenidos sin anemia (Hb>=13)"|"75"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados postoperatoriamente con hierro IV"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados postoperatoriamente con hierro IV"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes con anestesia regional"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con anestesia regional"|"0"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes con anestesia regional"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes con anestesia regional"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados con antifibrinolíticos"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes tratados con antifibrinolíticos"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados con antifibrinolíticos"|"100"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes tratados con antifibrinolíticos"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con uso de recuperadores de sangre"|"0"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes con uso de recuperadores de sangre"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes con uso de recuperadores de sangre"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes con uso de recuperadores de sangre"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno"|"0"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno"|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno 
idem para todos, con y sin valor de conc.fibrin."|"0"|"2023"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno 
idem para todos, con y sin valor de conc.fibrin."|"0"|"2022"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno 
idem para todos, con y sin valor de conc.fibrin."|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes tratados con fibrinógeno 
idem para todos, con y sin valor de conc.fibrin."|"0"|"2025"|"cist_radical"|"Hospital B"
"% de pacientes transfundidos con Hb < 8 g/dl"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de pacientes transfundidos con Hb < 8 g/dl"|"0"|"2022"|"cist_radical"|"Hospital B"
"% de transfusiones de una sola unidad de hematíes"|"0"|"2024"|"cist_radical"|"Hospital B"
"% de transfusiones de una sola unidad de hematíes"|"50"|"2022"|"cist_radical"|"Hospital B"
"Tasa de transfusión (hematíes)"|"50"|"2024"|"cist_radical"|"Hospital B"
"Tasa de transfusión (hematíes)"|"50"|"2022"|"cist_radical"|"Hospital B"
"Índice de transfusión (hematíes)"|"4"|"2024"|"cist_radical"|"Hospital B"
"Índice de transfusión (hematíes)"|"1.5"|"2022"|"cist_radical"|"Hospital B"
"Índice total de transfusión (hematíes)"|"2"|"2024"|"cist_radical"|"Hospital B"
"Índice total de transfusión (hematíes)"|"0.75"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (overall)"|"4"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (overall)"|"3"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (overall)"|"2"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (overall)"|"1"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Arritmia)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Daño miocárdico después Cirg.NoCardíaca)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Delirium)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Edema pulmonar cardiogénico)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Embolia pulmonar)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Enfermedad venosa profunda)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Eventos adversos rel. transfusión)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Fallo renal agudo)"|"2"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Hemorragia postoperatoria)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ictus)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infarto agudo de miocardio)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de localización quirúrgica)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de origen desconocido)"|"1"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección del tracto urinario)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección sanguínea Conf.Lab)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Neumonía)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Paro cardíaco)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ruptura anastomótica)"|"1"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (SDRA)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Sangrado gastrointestinal)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Íleo paralítico)"|"0"|"2022"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Arritmia)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Daño miocárdico después Cirg.NoCardíaca)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Delirium)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Edema pulmonar cardiogénico)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Embolia pulmonar)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Enfermedad venosa profunda)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Eventos adversos rel. transfusión)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Fallo renal agudo)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Hemorragia postoperatoria)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ictus)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infarto agudo de miocardio)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de localización quirúrgica)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de origen desconocido)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección del tracto urinario)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección sanguínea Conf.Lab)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Neumonía)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Paro cardíaco)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ruptura anastomótica)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (SDRA)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Sangrado gastrointestinal)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Íleo paralítico)"|"0"|"2023"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Arritmia)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Daño miocárdico después Cirg.NoCardíaca)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Delirium)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Edema pulmonar cardiogénico)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Embolia pulmonar)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Enfermedad venosa profunda)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Eventos adversos rel. transfusión)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Fallo renal agudo)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Hemorragia postoperatoria)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ictus)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infarto agudo de miocardio)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de localización quirúrgica)"|"1"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de origen desconocido)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección del tracto urinario)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección sanguínea Conf.Lab)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Neumonía)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Paro cardíaco)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ruptura anastomótica)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (SDRA)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Sangrado gastrointestinal)"|"0"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Íleo paralítico)"|"1"|"2024"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Arritmia)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Daño miocárdico después Cirg.NoCardíaca)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Delirium)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Edema pulmonar cardiogénico)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Embolia pulmonar)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Enfermedad venosa profunda)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Eventos adversos rel. transfusión)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Fallo renal agudo)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Hemorragia postoperatoria)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Ictus)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infarto agudo de miocardio)"|"0"|"2025"|"cist_radical"|"Hospital B"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de localización quirúrgica)"|"0"|"2025"|"cist_radical"|"Hospital B"
